id;id_textual;nom;activat;visible_publicacio;id_pare
54479;BILDU;Bildu;0;0;52099
54299;BIODIVERSITA;Biodiversitat;0;0;52099
53387;BIOMEDICINA;Biomedicina;1;1;52099
54255;BIRMANIA;Birmània;0;0;52099
52687;BITCOIN;Bitcoin;0;0;52099
52693;BMGRANOLLERS;BM Granollers;0;0;52104
53488;BOLIVIA;Bolívia ;0;0;52099
53210;BOMBERS;Bombers;0;0;52099
52685;BORBON;Borbons;0;1;52099
53335;JOHNSON;Boris Johnson;0;1;52099
54172;BORSA;Borsa ;0;0;52099
52927;BRASIL;Brasil;0;0;52099
52580;BRETXASALARI;Bretxa salarial;0;0;52099
52277;BREXIT;Brexit;0;0;52099
52732;BULLYING;Bullying;0;0;52099
55194;SBUSQUETS;Busquets;0;1;52104
56130;BUSTIA;Bústia de denúncia ;0;0;52099
54785;CALENDARI;Calendari laboral;0;0;52099
54258;CANADA;Canadà;0;0;52099
52311;CANCER;Càncer;0;0;52099
52899;CANNABIS;Cànnabis;0;0;52099
55079;CANTABRIA;Cantàbria ;0;0;52099
52321;CCLIMATIC;Canvi climàtic;2;1;52099
54613;CARLASIMON;Carla Simón;0;0;52099
54820;CARLESIII;Carles III;0;0;52099
52746;PUIGDEMONT;Carles Puigdemont;0;0;52099
52769;CARLESRIERA;Carles Riera;0;1;52099
52421;SABATER;Carles Sabater;0;0;52099
54259;CARRIZOSA;Carlos Carrizosa;0;0;52099
53516;CARLOSCUEVAS;Carlos Cuevas;0;0;52099
55451;MAZON;Carlos Mazón;0;0;52099
52750;FORCADELL;Carme Forcadell;0;1;52099
52454;SERRALLONGA;Carme Serrallonga i Calafell;0;0;52099
52601;BALCELLS;Carmen Balcells;0;1;52099
52571;CARONT;Caront;0;1;52099
55899;CASKOLDO;Cas Koldo;0;0;52099
55007;CASNEGREIRA;CAS NEGREIRA;0;0;52104
52500;CASPALU;Cas Palau;0;1;52099
53390;CASAREIAL;Casa Reial espanyola ;0;0;52099
52801;CASTELLERS;Castellers;0;0;52099
52607;CASTOR;Castor;0;0;52099
52641;CATALA;Català ;0;0;52099
53068;CATALANTRIAL;Catalan independence trial;0;1;52099
54714;CATALANGATE;Catalangate;0;0;52099
52908;CATALUNYA;Catalunya;0;0;52099
56276;SECCATALUNYA;Catalunya;2;1;52099
55176;CATNORD;Catalunya Nord;0;0;52099
53209;CAYETANA;Cayetana Álvarez de Toledo;0;0;52099
53402;CCOO;CCOO;0;0;52099
52682;CDR;CDR;0;0;52099
54550;CEOE;CEOE;0;0;52099
54509;CERTIFICAT;Certificat Covid;0;1;52099
56908;CESC;Cesc Fàbregas;0;0;52104
54397;CEUTA;Ceuta;0;0;52099
52982;CGPJ;CGPJ;0;0;52099
53403;CGT;CGT;0;0;52099
52822;CHAKHOMRANI;Chakir el Homrani;0;1;52099
55283;EINDHOVEN;CHAMPIONS EINDHOVEN;0;1;52104
54874;CIBERDELICTE;Ciberdelicte;0;0;52099
52362;CIENCIA;Ciència;1;1;52099
56280;CIENCIATECNO;Ciència i tecnologia;0;0;52099
52510;CINEMA;Cinema;0;0;52099
53065;CISJORDANIA;Cisjordània;0;0;52099
52763;CLARAPONSATI;Clara Ponsatí;0;0;52099
53377;COLOMBIA;Colòmbia;0;0;52099
53269;COMERC;Comerç;0;0;52099
53379;COMIC;Còmic;0;0;52099
53530;COMISSIOEU;Comissió Europea;0;0;52099
52906;MADRID;Comunitat de Madrid;0;0;52099
52390;ENCOMU;Comuns;0;0;52099
54166;CONFINAMENT;Confinament ;0;1;52099
54718;CONGRES;Congrés dels Diputats;0;0;52099
53531;CONSELLDEURO;Consell d'Europa;0;0;52099
53532;CONSELLEUROP;Consell Europeu;0;0;52099
53056;CONSELLREP;Consell per la República;0;0;52099
57072;TEMPSADVERS;Consells davant un temps advers;0;0;52099
57043;CONSELLSTECN;Consells de tecnologia;0;0;52099
53045;CONSTITUCIOE;Constitució espanyola;0;0;52099
53268;CONSUM;Consum;0;0;52099
52371;CONTAMINACIO;Contaminació;0;0;52099
54424;CAMERICA;Copa Amèrica;0;0;52104
52278;COREANORD;Corea del Nord;0;0;52099
54773;COREASUD;Corea del Sud;0;0;52099
53553;CORONAVIRUS;Coronavirus ;0;0;52099
52574;CORREDORMED;Corredor Mediterrani;0;1;52099
52211;CORRUPCIO;Corrupció;0;0;52099
52491;COUTINHO;Coutinho;0;1;52104
54167;COVID;Covid-19;0;0;52099
53076;CATRMESVIST;CR més vist;1;0;52122
56348;CRIA;Criança;0;0;52099
52948;CRIDANR;Crida Nacional per la República;0;1;52099
54378;CRIPTOMONEDA;Criptomonedes;0;0;52099
53263;CRISICLIMA;Crisi climàtica;0;0;52099
54824;CCLIMATICA;Crisi climàtica SX3;0;0;54781
54860;CRISIGOVERN;Crisi de govern;0;0;52099
52715;CIFUENTES;Cristina Cifuentes;0;1;52099
52474;CRMESVIST;CRmésvist 2017;0;1;52122
55300;CROACIA;Croàcia;0;0;52099
52388;CS;Cs;0;0;52099
54294;CUBA;Cuba;0;0;52099
54671;CUCAGAMARRA;Cuca Gamarra;0;0;52099
52848;CUINA;Cuina;0;1;52122
52514;RECEPTES;Cuines;1;0;52121
56275;CULTURA;Cultura;0;0;52099
52686;CULTPOPULAR;Cultura popular;0;0;52099
52393;CUP;CUP;0;0;52099
52817;DAMIACALVET;Damià Calvet;0;0;52099
54492;ALVES;DaniAlves;0;0;52104
55296;MASCORT;David Mascort;0;0;52099
53535;SASSOLI;David Sassoli;0;1;52099
54813;DE0A6ANYS;De 0 a 6 anys;0;0;54781
54815;DE10A14ANYS;De 10 a 14 anys;0;0;54781
54814;DE7A9ANYS;De 7 a 9 anys;0;0;54781
53772;FOSCORLLUM;De la foscor a la llum;0;1;52099
53426;DEBAT;Debat política general;0;0;52099
54788;DEBATCONGRES;Debat Política General Congrés;0;1;52099
52582;DELICTEODI;Delicte d'odi;0;0;52099
52640;DELICTESECO;Delictes econòmics;0;0;52099
52437;DEMBELE;Dembélé;0;0;52104
53667;DESESCALADA;Desescalada;0;1;52099
56284;DESIGUPOBRE;Desigualtat i pobresa;0;0;52099
53572;DESPOBLAMENT;Despoblament;1;0;52099
54673;DEPOBLAMENT;Despoblament ;0;0;52099
54920;DIAINFANCIA;Dia Mundial de la Infància;0;0;52099
53119;DIARADIO;Dia Mundial de la Ràdio;0;0;52122
52694;DIESRADIO;Dies de ràdio;0;1;52122
52381;DIGITALS;Digital ;0;0;52099
55721;DINAMARCA;Dinamarca;0;0;52099
57192;DISCAPACITAT;Discapacitat;0;0;52099
52751;DOLORSBASSA;Dolors Bassa;0;0;52099
54257;DSABATER;Dolors Sabater;0;1;52099
52397;TRUMP;Donald Trump ;0;0;52099
54844;DONESINSPIRA;Dones inspiradores;0;0;54781
52394;DRETSHUMANS;Drets humans;0;0;52099
52652;DROGUES;Drogues;0;0;52099
53074;E3MESVIST;E3 més vist;1;0;52104
53217;EBOLA;Ebola;0;1;52099
57235;ECLIPSI;Eclipsi solar 2026;0;0;52099
52632;ECOLOGIA;Ecologia;0;0;52099
52633;ECOLOGISME;Ecologime;2;0;52099
56277;ECOIFINANCES;Economia;0;0;52099
52210;ELSDINERS;Economia de butxaca;1;1;52099
52216;EDUCACIO;Educació ;0;0;52099
55983;PUA_CANVIS;Educació afectivo sexual a Canvis;0;0;54781
55397;EDUCASEXUAL;Educació sexual;0;0;52099
54293;EGIPTE;Egipte;0;0;52099
52356;EGM;EGM;0;0;52122
52423;ELCLASSIC;El Clàssic;0;0;52104
52533;DERBI;El Derbi;0;1;52104
